,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
128,32,1,1,cpu,5.15645369887352e-05,0.0002975555136799812,4096,640
129,32,1,1,cuda:0,5.236072465777397e-05,0.00029699681326746943,4096,640
130,32,1,2,cpu,5.50844706594944e-05,0.0003057830035686493,8192,1280
131,32,1,2,cuda:0,5.878610536456108e-05,0.0003074591048061848,8192,1280
132,32,1,10,cpu,6.152400746941566e-05,0.0004441402852535248,40960,6400
133,32,1,10,cuda:0,5.979873239994049e-05,0.0003472062759101391,40960,6400
134,32,1,20,cpu,6.099315360188484e-05,0.0003922685049474239,81920,12800
135,32,1,20,cuda:0,6.43804669380188e-05,0.00039931563660502436,81920,12800
136,32,2,1,cpu,7.000276818871498e-05,0.00032182568684220315,8192,1280
137,32,2,1,cuda:0,6.689485162496567e-05,0.0003157144412398338,8192,1280
138,32,2,2,cpu,9.076688438653946e-05,0.00033654142171144483,16384,2560
139,32,2,2,cuda:0,8.914656937122344e-05,0.0003292988054454327,16384,2560
140,32,2,10,cpu,0.00024258280172944068,0.00039584441110491754,81920,12800
141,32,2,10,cuda:0,0.00022789491340517997,0.00043661827221512793,81920,12800
142,32,2,20,cpu,0.0002583391033113003,0.0004907180555164814,163840,25600
143,32,2,20,cuda:0,0.00025033531710505486,0.0004851655103266239,163840,25600
144,32,10,1,cpu,7.79367983341217e-05,0.0003529055044054985,40960,6400
145,32,10,1,cuda:0,8.279792964458466e-05,0.0003563137724995613,40960,6400
146,32,10,2,cpu,9.800251573324203e-05,0.0003912558779120445,81920,12800
147,32,10,2,cuda:0,0.00010664202272891998,0.0004237394779920578,81920,12800
148,32,10,10,cpu,0.00014433581382036209,0.0007784117944538594,409600,64000
149,32,10,10,cuda:0,0.0001274409703910351,0.0007752129808068275,409600,64000
150,32,10,20,cpu,0.00014103930443525313,0.0011390907689929008,819200,128000
151,32,10,20,cuda:0,0.00014556506648659705,0.0011635285802185536,819200,128000
152,32,20,1,cpu,7.195137441158294e-05,0.00036979326978325844,81920,12800
153,32,20,1,cuda:0,7.87888653576374e-05,0.0003608814440667629,81920,12800
154,32,20,2,cpu,0.00010082405060529709,0.0004634027369320393,163840,25600
155,32,20,2,cuda:0,8.615730330348015e-05,0.0005484354682266712,163840,25600
156,32,20,10,cpu,9.530652314424515e-05,0.0012047214433550835,819200,128000
157,32,20,10,cuda:0,9.988825768232345e-05,0.00117879593744874,819200,128000
158,32,20,20,cpu,0.0001145271584391594,0.00206324215978384,1638400,256000
159,32,20,20,cuda:0,0.0001100362278521061,0.0022629348561167715,1638400,256000
